,Buyer,Average Purchase Price
475,9450-3349 Quebec Inc,138.1846666666667
476,9454-8419 Quebec Inc,146.77966101694912
477,9462-8369 Quebec Inc,83.48666666666666
478,9478-4147 Quebec Inc,94.5325
479,9487-1555 Quebec Inc,98.90692307692308
480,9500-1897 Quebec Inc,119.342
481,9512-2719 Quebec Inc,117.76942857142858
482,9539557 Canada Inc - Mmm Auto Sales Leasing,131.49333333333334
483,9545727 Canada Inc,372.1766666666667
484,9578862 Canada Inc - Prio Auto Sales,112.60516949152544
485,961 Motor Cars Limited,90.79
486,9639675 Canada Inc,97.77333333333333
487,9935665 Canada Inc - Jc Dc Motors,102.2170588235294
488,9950699 Canada Inc,122.11370370370368
489,A A Truck Sale Limited,129.64
490,A E Motorcars Limited,193.74166666666665
491,A G Earth Inc - Lane 8 Car Sales,93.97
492,A O Commerce,148.652
493,A Z Auto Service Limited,106.57
494,A B L Automotive Group,90.51714285714286
495,A B N Autos Inc,92.88333333333333
496,A J Auto Sales - Onaping On,97.44
497,A S K Auto Sales,199.45
498,A Z Auto Sales Service,99.2025
499,A Zed Impact Inc,99.54
500,A-1 Auto Sales,115.5338888888889
501,A-1 Auto Sales Inc,124.96399999999998
502,A-Line Automotive,117.2135714285714
503,A-Plus Rent-A-Car,94.58
504,A-Z Auto,171.65
505,A2 Toronto Auto Limited,91.22363636363636
506,Aa Auto Sales,142.71
507,Aaa Auto Sales Limited,97.09
508,Aaderi Auto,65.28
509,Aaron Auto,89.2
510,Ab Automobiles99,65.06076923076922
511,Aban Motors Limited,106.93
512,Abbasi Auto Group,-100.0
513,Abbotsford Chrysler Dodge Jeep Ram Limited,99.092
514,Abbotsford Mazda,118.34
515,Abbotsford Prestige Auto Collection,98.58107142857143
516,Abbotsford Volkswagen,91.05882352941175
517,Abboudis Auto Repair And Sales,186.0183333333333
518,Abenante Motor Group Inc,123.91299999999998
519,Abh Car Sales Limited,112.52
520,Absolute Fine Cars,89.1925
521,Acadia Toyota,108.735
522,Accelerate Auto Group,100.01
523,Accelerated Automotive,84.10833333333332
524,Acces Auto,85.72999999999999
525,Ace Motorsports,80.86
526,Action Auto Leasing And Sales,104.134
527,Action Auto Sales Inc,134.57
528,Action Vip Auto,114.51172413793104
529,Acura Montreal Centre,90.2
530,Acura Of Hamilton - Ham A Auto Lp,114.69
531,Adams Fine Cars Inc,154.92346153846154
532,Adesa Montreal,91.54
533,Adesa Quebec,91.05
534,Adrenalin Motors,96.19
